ID	Easy	Intermediate	Difficult
2131	0.3	1.1	0
2599	0.5	0	0
3708	0.5	0	0
3040	0.5	0.3	0
1900	0.4	0.4	0
3783	0.8	0	0
3709	1	0	0
2151	0.3	0	0
5281	0.5	0.5	0.1
811	0.6	0	0
4611	0.7	0.3	0
5031	0.8	0	0
2939	0.7	0	0
2597	0.3	0.2	0.1
1836	0.2	0	0
747	0.3	0.1	0.1
698	0.6	0.5	0.2
2423	0.7	0.3	0
3277	1.2	1	0
2675	1.5	1	0.1
1008	2	2	0
4813	0.5	0	0
366	0.5	1.8	0.8
2510	1	0	0
1532	0.7	0.3	0
2908	2	1	0
1074	0.1	0	0
442	0.3	0.2	0.1
3096	1	0	0
2123	1	0.5	0.2
2915	1	0.7	0.8
2624	1	1.6	2
3026	1	1.3	0.7
3950	1	2	1.5
1124	1.5	1.5	0
317	3	4	2
3086	3	4	2.5
857	4	3	1
365	0.5	0.3	0
80	1	0.5	0
5072	0.7	0.4	0
1190	1.4	0.8	1.8
3064	1.5	1.2	1.3
4067	0	0	0.1
3030	0.3	0.3	0.3
2862	0.6	0.4	0
1631	0.6	0.4	0.2
4525	0.6	1.4	0.4
1192	1.2	0.3	0
1825	1.7	1.5	0.8
4843	3	1	0.9
3368	1	0	0
3197	0.5	0.3	0
1646	2	0.5	0.5
5240	4	2	2
4049	2	2	1
5195	2	3	1
478	2	3.5	2.5
1093	0.2	0.6	0.2
5250	0.7	0.5	0
270	0.8	0.6	0
3077	1	2	2
1057	1.8	1.7	1
4661	2	2	0
4785	2.2	3	1.5
2790	3	4	2
3044	0.7	0.7	0.7
5194	4.6	2	1
3080	1	2	1.5
4416	1	1.5	0.5
2905	3	2	2
1681	4	1	0
885	4	4	2
2150	1.5	2	1.5
5030	3	4	6
2463	1.3	0.2	0
4379	3	8	6
1855	0.6	0.4	0.2
2944	3	3	4
4442	0.5	1.5	2
1454	1	1	0
814	1	2	1.3
3020	1.1	0.3	0.8
4318	2	3	2.5
181	2	3.8	4.2
4518	3	5	1.5
4361	4	9	4
4227	1.5	2	0.5
3781	2	2.5	0.5
2792	2.5	0.5	0
2923	3	3.5	3.5
2932	5	2	8
2785	6	8	6
349	0.2	0.9	0.4
4106	0.9	2.5	1
4684	0.5	0.4	0.7
4423	1	0	0.2
3038	2	2	1
454	2	14	4
1386	3	2	0
396	3	4	3
3677	4	7	4
3310	6	4	2
4461	9	8	8
518	3	2.2	0.8
1653	3	5	2
4450	3	5	2
2994	3	12	10
2938	4	6	5
2906	5	5	3
5125	0.2	0.6	0.6
4086	0.5	0	0
985	1	1	0
3444	1.2	1.5	1
2759	2.5	0.5	0
3091	2.5	4	2
3965	2.5	3	2
2119	4	5	3
900	4	2	14
687	5	12	6
1459	10	20	20
2500	4	5	6
3784	1.5	1	0.5
5136	2	2	0.5
2941	2	3	4
3087	2.5	4.5	5
1669	3	3	2
2912	4	11	5
4672	0.5	1.5	1
3491	2.6	3	1
677	4	4	0
2926	4	3	3
3043	5	3	2
709	5	7	1
810	5	10	5
2638	15	25	10
109	0.4	0.6	0.5
3147	2.3	1	0.6
3610	4	7	5
5237	5.2	2.8	3.5
3534	6	9	4
1783	0.6	1	0.3
2596	1.1	1.3	0.6
632	1.2	0.8	0.2
4402	1.3	1.8	0.1
3262	2	3	1.5
2629	8	14	9
1590	5	10	5
364	0	2	3
3802	0.3	0.2	0
2639	1	0.5	0.5
835	1.3	0.5	0.2
2942	2	2.2	2.7
3282	2.5	3.5	2
3612	2.5	5.5	1.5
3263	2.5	4	3
2688	3	2	1.3
2793	3	4	3
